ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000165029","ABCA1","-2.71","3.82","-20.82","8.84e-53","4.22e-51"
"ENSG00000165092","ALDH1A1","-2.37","5.61","-9.91","3.24e-19","4.02e-19"
"ENSG00000165140","FBP1","-2.44","3.57","-17.70","2.23e-43","3.28e-42"
"ENSG00000165449","SLC16A9","-2.74","5.30","-16.51","1.07e-39","1.04e-38"
"ENSG00000165795","NDRG2","-2.49","7.62","-15.94","6.51e-38","5.09e-37"
"ENSG00000166148","AVPR1A","-3.15","3.04","-17.44","1.4e-42","1.89e-41"
"ENSG00000166482","MFAP4","-2.55","3.75","-10.89","3.65e-22","6.02e-22"
"ENSG00000166669","ATF7IP2","-2.07","4.58","-15.17","1.69e-35","1.06e-34"
"ENSG00000166803","PCLAF","2.30","2.36","12.88","2.57e-28","7.66e-28"
"ENSG00000167244","IGF2","5.57","6.58","18.11","1.17e-44","1.94e-43"
"ENSG00000167280","ENGASE","-2.23","4.23","-22.20","8.48e-57","7.64e-55"
"ENSG00000167371","PRRT2","-2.15","2.41","-18.60","3.89e-46","7.5e-45"
"ENSG00000167615","LENG8","-2.02","6.31","-17.66","2.78e-43","4.02e-42"
"ENSG00000167749","KLK4","2.01","2.16","8.16","3.11e-14","2.36e-14"
"ENSG00000167779","IGFBP6","-3.26","4.95","-18.05","1.79e-44","2.87e-43"
"ENSG00000168010","ATG16L2","-2.08","4.02","-21.69","2.54e-55","1.77e-53"
"ENSG00000168078","PBK","2.00","1.37","12.70","9.83e-28","2.75e-27"
"ENSG00000168490","PHYHIP","-3.21","3.26","-23.07","2.84e-59","3.64e-57"
"ENSG00000169031","COL4A3","-2.71","2.69","-21.93","4.98e-56","3.91e-54"
"ENSG00000169116","PARM1","-2.10","3.28","-14.10","3.81e-32","1.68e-31"
"ENSG00000169330","MINAR1","-2.02","1.83","-13.45","4.17e-30","1.5e-29"
"ENSG00000169474","SPRR1A","2.13","1.46","7.16","1.34e-11","8.08e-12"
"ENSG00000170262","MRAP","-3.25","5.60","-12.74","7.44e-28","2.11e-27"
"ENSG00000170312","CDK1","2.19","2.19","13.06","7.17e-29","2.22e-28"
"ENSG00000170558","CDH2","-3.18","4.28","-15.38","3.73e-36","2.46e-35"
"ENSG00000170890","PLA2G1B","2.31","3.32","11.98","1.73e-25","3.9e-25"
"ENSG00000171401","KRT13","-2.37","1.50","-22.25","6.01e-57","5.62e-55"
"ENSG00000172346","CSDC2","-2.68","5.62","-10.55","4.11e-21","6.13e-21"
"ENSG00000172824","CES4A","-2.79","3.02","-23.81","2.33e-61","4.36e-59"
"ENSG00000173432","SAA1","-3.73","3.26","-15.13","2.28e-35","1.41e-34"
"ENSG00000173641","HSPB7","-2.38","5.43","-9.18","4.49e-17","4.5e-17"
"ENSG00000174348","PODN","-2.32","2.43","-17.32","3.3e-42","4.23e-41"
"ENSG00000174640","SLCO2A1","-3.08","3.88","-24.36","7.04e-63","1.43e-60"
"ENSG00000175063","UBE2C","2.96","2.73","14.55","1.47e-33","7.52e-33"
"ENSG00000175084","DES","-3.11","2.25","-19.96","3.11e-50","1.08e-48"
"ENSG00000175287","PHYHD1","-2.93","3.64","-18.95","3.38e-47","7.54e-46"
"ENSG00000175600","SUGCT","-2.96","4.10","-17.95","3.61e-44","5.67e-43"
"ENSG00000175643","RMI2","2.35","2.05","18.72","1.65e-46","3.35e-45"
"ENSG00000175745","NR2F1","-2.58","4.34","-18.89","4.86e-47","1.06e-45"
"ENSG00000177106","EPS8L2","-2.16","3.30","-12.28","1.96e-26","4.81e-26"
"ENSG00000177575","CD163","-2.92","5.50","-15.96","5.4e-38","4.26e-37"
"ENSG00000179142","CYP11B2","-3.44","3.68","-10.87","4.43e-22","7.25e-22"
"ENSG00000180176","TH","-3.32","2.28","-8.31","1.2e-14","9.41e-15"
"ENSG00000181195","PENK","-2.84","1.89","-7.40","3.28e-12","2.09e-12"
"ENSG00000182326","C1S","-2.53","6.38","-12.84","3.58e-28","1.05e-27"
"ENSG00000184254","ALDH1A3","-2.18","2.40","-14.28","1.02e-32","4.74e-32"
"ENSG00000184371","CSF1","-2.11","4.12","-14.56","1.42e-33","7.3e-33"
"ENSG00000184381","PLA2G6","-2.29","4.70","-19.20","5.79e-48","1.44e-46"
"ENSG00000184672","RALYL","-2.08","2.55","-14.62","8.73e-34","4.57e-33"
"ENSG00000185189","NRBP2","-2.06","3.73","-20.29","3.19e-51","1.29e-49"
"ENSG00000185215","TNFAIP2","-2.09","5.50","-12.40","8.31e-27","2.1e-26"
"ENSG00000186174","BCL9L","-2.07","4.06","-16.36","3.18e-39","2.88e-38"
"ENSG00000187479","C11orf96","-2.07","5.76","-11.77","7.62e-25","1.63e-24"
"ENSG00000188257","PLA2G2A","-2.11","2.24","-10.38","1.33e-20","1.87e-20"
